source,target,tgt_lng
Bush,灌木丛,zh-CN
Button,按钮,zh-CN
Cactus,仙人掌,zh-CN
Cactus Flower,仙人掌花,zh-CN
Cake,蛋糕,zh-CN
Cake with Black Candle,插上黑色蜡烛的蛋糕,zh-CN
Cake with Blue Candle,插上蓝色蜡烛的蛋糕,zh-CN
Cake with Brown Candle,插上棕色蜡烛的蛋糕,zh-CN
Cake with Candle,插上蜡烛的蛋糕,zh-CN
Cake with Cyan Candle,插上青色蜡烛的蛋糕,zh-CN
Cake with Gray Candle,插上灰色蜡烛的蛋糕,zh-CN
Cake with Green Candle,插上绿色蜡烛的蛋糕,zh-CN
Cake with Light Blue Candle,插上淡蓝色蜡烛的蛋糕,zh-CN
Cake with Light Gray Candle,插上淡灰色蜡烛的蛋糕,zh-CN
Cake with Lime Candle,插上黄绿色蜡烛的蛋糕,zh-CN
Cake with Magenta Candle,插上品红色蜡烛的蛋糕,zh-CN
Cake with Orange Candle,插上橙色蜡烛的蛋糕,zh-CN
Cake with Pink Candle,插上粉红色蜡烛的蛋糕,zh-CN
Cake with Purple Candle,插上紫色蜡烛的蛋糕,zh-CN
Cake with Red Candle,插上红色蜡烛的蛋糕,zh-CN
Cake with White Candle,插上白色蜡烛的蛋糕,zh-CN
Cake with Yellow Candle,插上黄色蜡烛的蛋糕,zh-CN
Calcite,方解石,zh-CN
Calibrated Sculk Sensor,校频幽匿感测体,zh-CN
Campfire,营火,zh-CN
Candle,蜡烛,zh-CN
Carpet,地毯,zh-CN
Carrots,胡萝卜,zh-CN
Cartography Table,制图台,zh-CN
Carved Pumpkin,雕刻南瓜,zh-CN
Cauldron,炼药锅,zh-CN
Cave Air,洞穴空气,zh-CN
Cave Vines,洞穴藤蔓,zh-CN
Cave Vines Plant,洞穴藤蔓植株,zh-CN
Chain Command Block,连锁型命令方块,zh-CN
Cherry Button,樱花木按钮,zh-CN
Cherry Door,樱花木门,zh-CN
Cherry Fence,樱花木栅栏,zh-CN
Cherry Fence Gate,樱花木栅栏门,zh-CN
Cherry Hanging Sign,悬挂式樱花木告示牌,zh-CN
Cherry Leaves,樱花树叶,zh-CN
Cherry Log,樱花原木,zh-CN
Cherry Planks,樱花木板,zh-CN
Cherry Pressure Plate,樱花木压力板,zh-CN
Cherry Sapling,樱花树苗,zh-CN
Cherry Shelf,樱花木展示架,zh-CN
Cherry Sign,樱花木告示牌,zh-CN
Cherry Slab,樱花木台阶,zh-CN
Cherry Stairs,樱花木楼梯,zh-CN
Cherry Trapdoor,樱花木活板门,zh-CN
Cherry Wall Hanging Sign,墙上的悬挂式樱花木告示牌,zh-CN
Cherry Wall Sign,墙上的樱花木告示牌,zh-CN
Cherry Wood,樱花木,zh-CN
Chest,箱子,zh-CN
Chipped Anvil,开裂的铁砧,zh-CN
Chiseled Bookshelf,雕纹书架,zh-CN
Chiseled Cinnabar,雕纹朱砂,zh-CN
Chiseled Copper,雕纹铜块,zh-CN
Chiseled Deepslate,雕纹深板岩,zh-CN
Chiseled Nether Bricks,雕纹下界砖块,zh-CN
Chiseled Polished Blackstone,雕纹磨制黑石,zh-CN
Chiseled Quartz Block,雕纹石英块,zh-CN
Chiseled Red Sandstone,雕纹红砂岩,zh-CN
Chiseled Resin Bricks,雕纹树脂砖块,zh-CN
Chiseled Sandstone,雕纹砂岩,zh-CN
Chiseled Stone Bricks,雕纹石砖,zh-CN
Chiseled Sulfur,雕纹硫黄,zh-CN
Chiseled Tuff,雕纹凝灰岩,zh-CN
Chiseled Tuff Bricks,雕纹凝灰岩砖,zh-CN
Chorus Flower,紫颂花,zh-CN
Chorus Plant,紫颂植株,zh-CN
Cinnabar,朱砂,zh-CN
Cinnabar Brick Slab,朱砂砖台阶,zh-CN
Cinnabar Brick Stairs,朱砂砖楼梯,zh-CN
Cinnabar Brick Wall,朱砂砖墙,zh-CN
Cinnabar Bricks,朱砂砖,zh-CN
Cinnabar Slab,朱砂台阶,zh-CN
Cinnabar Stairs,朱砂楼梯,zh-CN
Cinnabar Wall,朱砂墙,zh-CN
Clay,黏土,zh-CN
Closed Eyeblossom,闭合的眼眸花,zh-CN
Coal Ore,煤矿石,zh-CN
Coarse Dirt,砂土,zh-CN
Cobbled Deepslate,深板岩圆石,zh-CN
Cobbled Deepslate Slab,深板岩圆石台阶,zh-CN
Cobbled Deepslate Stairs,深板岩圆石楼梯,zh-CN
Cobbled Deepslate Wall,深板岩圆石墙,zh-CN
Cobblestone,圆石,zh-CN
Cobblestone Slab,圆石台阶,zh-CN
Cobblestone Stairs,圆石楼梯,zh-CN
Cobblestone Wall,圆石墙,zh-CN
Cobweb,蜘蛛网,zh-CN
Cocoa,可可果,zh-CN
Command Block,命令方块,zh-CN
Composter,堆肥桶,zh-CN
Concrete,混凝土,zh-CN
Concrete Powder,混凝土粉末,zh-CN
Conduit,潮涌核心,zh-CN
Copper Bars,铜栏杆,zh-CN
Copper Bulb,铜灯,zh-CN
Copper Chain,铜链,zh-CN
Copper Chest,铜箱子,zh-CN
Copper Door,铜门,zh-CN
Copper Golem Statue,铜傀儡像,zh-CN
Copper Grate,铜格栅,zh-CN
Copper Lantern,铜灯笼,zh-CN
Copper Ore,铜矿石,zh-CN
Copper Torch,铜火把,zh-CN
Copper Trapdoor,铜活板门,zh-CN
Copper Wall Torch,墙上的铜火把,zh-CN
Coral,珊瑚,zh-CN
Coral Block,珊瑚块,zh-CN
Coral Fan,珊瑚扇,zh-CN
Coral Wall Fan,墙上的珊瑚扇,zh-CN
Cornflower,矢车菊,zh-CN
Cracked Deepslate Bricks,裂纹深板岩砖,zh-CN
Cracked Deepslate Tiles,裂纹深板岩瓦,zh-CN
Cracked Nether Bricks,裂纹下界砖块,zh-CN
Cracked Polished Blackstone Bricks,裂纹磨制黑石砖,zh-CN
Cracked Stone Bricks,裂纹石砖,zh-CN
Crafter,合成器,zh-CN
Crafting Table,工作台,zh-CN
Creaking Heart,嘎枝之心,zh-CN
Creeper Head,苦力怕的头,zh-CN
Creeper Wall Head,墙上的苦力怕的头,zh-CN
Crimson Button,绯红木按钮,zh-CN
Crimson Door,绯红木门,zh-CN
Crimson Fence,绯红木栅栏,zh-CN
Crimson Fence Gate,绯红木栅栏门,zh-CN
Crimson Fungus,绯红菌,zh-CN
Crimson Hanging Sign,悬挂式绯红木告示牌,zh-CN
Crimson Hyphae,绯红菌核,zh-CN
Crimson Nylium,绯红菌岩,zh-CN
Crimson Planks,绯红木板,zh-CN
Crimson Pressure Plate,绯红木压力板,zh-CN
Crimson Roots,绯红菌索,zh-CN
Crimson Shelf,绯红木展示架,zh-CN
Crimson Sign,绯红木告示牌,zh-CN
Crimson Slab,绯红木台阶,zh-CN
Crimson Stairs,绯红木楼梯,zh-CN
Crimson Stem,绯红菌柄,zh-CN
Crimson Trapdoor,绯红木活板门,zh-CN
Crimson Wall Hanging Sign,墙上的悬挂式绯红木告示牌,zh-CN
Crimson Wall Sign,墙上的绯红木告示牌,zh-CN
Crying Obsidian,哭泣的黑曜石,zh-CN
Cut Copper,切制铜块,zh-CN
Cut Copper Slab,切制铜台阶,zh-CN
Cut Copper Stairs,切制铜楼梯,zh-CN
Cut Red Sandstone,切制红砂岩,zh-CN
Cut Red Sandstone Slab,切制红砂岩台阶,zh-CN
Cut Sandstone,切制砂岩,zh-CN
Cut Sandstone Slab,切制砂岩台阶,zh-CN
Cyan Banner,青色旗帜,zh-CN
Cyan Bed,青色床,zh-CN
Cyan Candle,青色蜡烛,zh-CN
Cyan Carpet,青色地毯,zh-CN
Cyan Concrete,青色混凝土,zh-CN
Cyan Concrete Powder,青色混凝土粉末,zh-CN
Cyan Glazed Terracotta,青色带釉陶瓦,zh-CN
Cyan Shulker Box,青色潜影盒,zh-CN
Cyan Stained Glass,青色染色玻璃,zh-CN
Cyan Stained Glass Pane,青色染色玻璃板,zh-CN
Cyan Terracotta,青色陶瓦,zh-CN
Cyan Wall Banner,墙上的青色旗帜,zh-CN
Cyan Wool,青色羊毛,zh-CN
Damaged Anvil,损坏的铁砧,zh-CN
Dandelion,蒲公英,zh-CN
Dark Oak Button,深色橡木按钮,zh-CN
Dark Oak Door,深色橡木门,zh-CN
Dark Oak Fence,深色橡木栅栏,zh-CN
Dark Oak Fence Gate,深色橡木栅栏门,zh-CN
Dark Oak Hanging Sign,悬挂式深色橡木告示牌,zh-CN
Dark Oak Leaves,深色橡树树叶,zh-CN
Dark Oak Log,深色橡木原木,zh-CN
Dark Oak Planks,深色橡木木板,zh-CN
Dark Oak Pressure Plate,深色橡木压力板,zh-CN
Dark Oak Sapling,深色橡树树苗,zh-CN
Dark Oak Shelf,深色橡木展示架,zh-CN
Dark Oak Sign,深色橡木告示牌,zh-CN
Dark Oak Slab,深色橡木台阶,zh-CN
Dark Oak Stairs,深色橡木楼梯,zh-CN
Dark Oak Trapdoor,深色橡木活板门,zh-CN
Dark Oak Wall Hanging Sign,墙上的悬挂式深色橡木告示牌,zh-CN
Dark Oak Wall Sign,墙上的深色橡木告示牌,zh-CN
Dark Oak Wood,深色橡木,zh-CN
Dark Prismarine,暗海晶石,zh-CN
Dark Prismarine Slab,暗海晶石台阶,zh-CN
Dark Prismarine Stairs,暗海晶石楼梯,zh-CN
Daylight Detector,阳光探测器,zh-CN
Dead Brain Coral,失活的脑纹珊瑚,zh-CN
Dead Brain Coral Block,失活的脑纹珊瑚块,zh-CN
Dead Brain Coral Fan,失活的脑纹珊瑚扇,zh-CN
Dead Brain Coral Wall Fan,墙上的失活脑纹珊瑚扇,zh-CN
Dead Bubble Coral,失活的气泡珊瑚,zh-CN
Dead Bubble Coral Block,失活的气泡珊瑚块,zh-CN
Dead Bubble Coral Fan,失活的气泡珊瑚扇,zh-CN
Dead Bubble Coral Wall Fan,墙上的失活气泡珊瑚扇,zh-CN
Dead Bush,枯萎的灌木,zh-CN
Dead Coral,失活的珊瑚,zh-CN
Dead Coral Blocks,失活的珊瑚块,zh-CN
Dead Coral Fans,失活的珊瑚扇,zh-CN
Dead Coral Wall Fan,墙上的失活珊瑚扇,zh-CN
Dead Fire Coral,失活的火珊瑚,zh-CN
Dead Fire Coral Block,失活的火珊瑚块,zh-CN
Dead Fire Coral Fan,失活的火珊瑚扇,zh-CN
Dead Fire Coral Wall Fan,墙上的失活火珊瑚扇,zh-CN
Dead Horn Coral,失活的鹿角珊瑚,zh-CN
Dead Horn Coral Block,失活的鹿角珊瑚块,zh-CN
Dead Horn Coral Fan,失活的鹿角珊瑚扇,zh-CN
Dead Horn Coral Wall Fan,墙上的失活鹿角珊瑚扇,zh-CN
Dead Tube Coral,失活的管珊瑚,zh-CN
Dead Tube Coral Block,失活的管珊瑚块,zh-CN
Dead Tube Coral Fan,失活的管珊瑚扇,zh-CN
Dead Tube Coral Wall Fan,墙上的失活管珊瑚扇,zh-CN
Decorated Pot,饰纹陶罐,zh-CN
Deepslate,深板岩,zh-CN
Deepslate Brick Slab,深板岩砖台阶,zh-CN
Deepslate Brick Stairs,深板岩砖楼梯,zh-CN
Deepslate Brick Wall,深板岩砖墙,zh-CN
Deepslate Bricks,深板岩砖,zh-CN
Deepslate Coal Ore,深层煤矿石,zh-CN
Deepslate Copper Ore,深层铜矿石,zh-CN
Deepslate Diamond Ore,深层钻石矿石,zh-CN
Deepslate Emerald Ore,深层绿宝石矿石,zh-CN
Deepslate Gold Ore,深层金矿石,zh-CN
Deepslate Iron Ore,深层铁矿石,zh-CN
Deepslate Lapis Lazuli Ore,深层青金石矿石,zh-CN
Deepslate Redstone Ore,深层红石矿石,zh-CN
Deepslate Tile Slab,深板岩瓦台阶,zh-CN
Deepslate Tile Stairs,深板岩瓦楼梯,zh-CN
Deepslate Tile Wall,深板岩瓦墙,zh-CN
Deepslate Tiles,深板岩瓦,zh-CN
Detector Rail,探测铁轨,zh-CN
Diamond Ore,钻石矿石,zh-CN
Diorite,闪长岩,zh-CN
Diorite Slab,闪长岩台阶,zh-CN
Diorite Stairs,闪长岩楼梯,zh-CN
Diorite Wall,闪长岩墙,zh-CN
Dirt,泥土,zh-CN
Dirt Path,土径,zh-CN
Dispenser,发射器,zh-CN
Door,门,zh-CN
Dragon Egg,龙蛋,zh-CN
Dragon Head,龙首,zh-CN
Dragon Wall Head,墙上的龙首,zh-CN
Dried Ghast,失水恶魂,zh-CN
Dried Kelp Block,干海带块,zh-CN
Dripstone Block,滴水石块,zh-CN
Dropper,投掷器,zh-CN
Emerald Ore,绿宝石矿石,zh-CN
Enchanting Table,附魔台,zh-CN
End Gateway,末地折跃门,zh-CN
End Portal,末地传送门,zh-CN
End Portal Frame,末地传送门框架,zh-CN
End Rod,末地烛,zh-CN
End Stone,末地石,zh-CN
End Stone Brick Slab,末地石砖台阶,zh-CN
End Stone Brick Stairs,末地石砖楼梯,zh-CN
End Stone Brick Wall,末地石砖墙,zh-CN
End Stone Bricks,末地石砖,zh-CN
Ender Chest,末影箱,zh-CN
Exposed Chiseled Copper,斑驳的雕纹铜块,zh-CN
Exposed Copper,斑驳的铜块,zh-CN
Exposed Copper Bars,斑驳的铜栏杆,zh-CN
Exposed Copper Bulb,斑驳的铜灯,zh-CN
Exposed Copper Chain,斑驳的铜链,zh-CN
Exposed Copper Chest,斑驳的铜箱子,zh-CN
Exposed Copper Door,斑驳的铜门,zh-CN
Exposed Copper Golem Statue,斑驳的铜傀儡像,zh-CN
Exposed Copper Grate,斑驳的铜格栅,zh-CN
Exposed Copper Lantern,斑驳的铜灯笼,zh-CN
Exposed Copper Trapdoor,斑驳的铜活板门,zh-CN
Exposed Cut Copper,斑驳的切制铜块,zh-CN
Exposed Cut Copper Slab,斑驳的切制铜台阶,zh-CN
Exposed Cut Copper Stairs,斑驳的切制铜楼梯,zh-CN
Exposed Lightning Rod,斑驳的避雷针,zh-CN
Farmland,耕地,zh-CN
Fence,栅栏,zh-CN
Fence Gate,栅栏门,zh-CN
Fern,蕨,zh-CN
Fire,火,zh-CN
Fire Coral,火珊瑚,zh-CN
Fire Coral Block,火珊瑚块,zh-CN
Fire Coral Fan,火珊瑚扇,zh-CN
Fire Coral Wall Fan,墙上的火珊瑚扇,zh-CN
Firefly Bush,萤火虫灌木丛,zh-CN
Fletching Table,制箭台,zh-CN
Flower,花,zh-CN
Flower Pot,花盆,zh-CN
Flowering Azalea,盛开的杜鹃花丛,zh-CN
Flowering Azalea Leaves,盛开的杜鹃树叶,zh-CN
Froglight,蛙明灯,zh-CN
Frogspawn,青蛙卵,zh-CN
Frosted Ice,霜冰,zh-CN
Fungus,下界菌,zh-CN
Furnace,熔炉,zh-CN
Gilded Blackstone,镶金黑石,zh-CN
Glass,玻璃,zh-CN
Glass Pane,玻璃板,zh-CN
Glazed Terracotta,带釉陶瓦,zh-CN
Glow Lichen,发光地衣,zh-CN
Glowstone,荧石,zh-CN
Gold Ore,金矿石,zh-CN
Golden Dandelion,金蒲公英,zh-CN
Granite,花岗岩,zh-CN
Granite Slab,花岗岩台阶,zh-CN
Granite Stairs,花岗岩楼梯,zh-CN
Granite Wall,花岗岩墙,zh-CN
Grass Block,草方块,zh-CN
Gravel,沙砾,zh-CN
Gray Banner,灰色旗帜,zh-CN
Gray Bed,灰色床,zh-CN
Gray Candle,灰色蜡烛,zh-CN
Gray Carpet,灰色地毯,zh-CN
Gray Concrete,灰色混凝土,zh-CN
Gray Concrete Powder,灰色混凝土粉末,zh-CN
Gray Glazed Terracotta,灰色带釉陶瓦,zh-CN
Gray Shulker Box,灰色潜影盒,zh-CN
Gray Stained Glass,灰色染色玻璃,zh-CN
Gray Stained Glass Pane,灰色染色玻璃板,zh-CN
Gray Terracotta,灰色陶瓦,zh-CN
Gray Wall Banner,墙上的灰色旗帜,zh-CN
Gray Wool,灰色羊毛,zh-CN
Green Banner,绿色旗帜,zh-CN
Green Bed,绿色床,zh-CN
Green Candle,绿色蜡烛,zh-CN
Green Carpet,绿色地毯,zh-CN
Green Concrete,绿色混凝土,zh-CN
Green Concrete Powder,绿色混凝土粉末,zh-CN
Green Glazed Terracotta,绿色带釉陶瓦,zh-CN
Green Shulker Box,绿色潜影盒,zh-CN
Green Stained Glass,绿色染色玻璃,zh-CN
Green Stained Glass Pane,绿色染色玻璃板,zh-CN
Green Terracotta,绿色陶瓦,zh-CN
Green Wall Banner,墙上的绿色旗帜,zh-CN
Green Wool,绿色羊毛,zh-CN
Grindstone,砂轮,zh-CN
Hanging Roots,垂根,zh-CN
Hanging Sign,悬挂式告示牌,zh-CN
Hay Bale,干草捆,zh-CN
Head,头颅,zh-CN
Heavy Core,沉重核心,zh-CN
Heavy Weighted Pressure Plate,重质测重压力板,zh-CN
Honey Block,蜂蜜块,zh-CN
Honeycomb Block,蜜脾块,zh-CN
Hopper,漏斗,zh-CN
Horn Coral,鹿角珊瑚,zh-CN
Horn Coral Block,鹿角珊瑚块,zh-CN
Horn Coral Fan,鹿角珊瑚扇,zh-CN
Horn Coral Wall Fan,墙上的鹿角珊瑚扇,zh-CN
Hyphae,菌核,zh-CN
Ice,冰,zh-CN
Infested Chiseled Stone Bricks,虫蚀雕纹石砖,zh-CN
Infested Cobblestone,虫蚀圆石,zh-CN
Infested Cracked Stone Bricks,虫蚀裂纹石砖,zh-CN
Infested Deepslate,虫蚀深板岩,zh-CN
Infested Mossy Stone Bricks,虫蚀苔石砖,zh-CN
Infested Stone,虫蚀石头,zh-CN
Infested Stone Bricks,虫蚀石砖,zh-CN
Iron Bars,铁栏杆,zh-CN
Iron Chain,铁链,zh-CN
Iron Door,铁门,zh-CN
Iron Ore,铁矿石,zh-CN
Iron Trapdoor,铁活板门,zh-CN
Jack O'lantern,南瓜灯,zh-CN
Jigsaw Block,拼图方块,zh-CN
Jukebox,唱片机,zh-CN
Jungle Button,丛林木按钮,zh-CN
Jungle Door,丛林木门,zh-CN
Jungle Fence,丛林木栅栏,zh-CN
Jungle Fence Gate,丛林木栅栏门,zh-CN
Jungle Hanging Sign,悬挂式丛林木告示牌,zh-CN
Jungle Leaves,丛林树叶,zh-CN
Jungle Log,丛林原木,zh-CN
Jungle Planks,丛林木板,zh-CN
Jungle Pressure Plate,丛林木压力板,zh-CN
Jungle Sapling,丛林树苗,zh-CN
Jungle Shelf,丛林木展示架,zh-CN
Jungle Sign,丛林木告示牌,zh-CN
Jungle Slab,丛林木台阶,zh-CN
Jungle Stairs,丛林木楼梯,zh-CN
Jungle Trapdoor,丛林木活板门,zh-CN
Jungle Wall Hanging Sign,墙上的悬挂式丛林木告示牌,zh-CN
Jungle Wall Sign,墙上的丛林木告示牌,zh-CN
Jungle Wood,丛林木,zh-CN
Kelp,海带,zh-CN
Kelp Plant,海带植株,zh-CN
Ladder,梯子,zh-CN
Lantern,灯笼,zh-CN
Lapis Lazuli Ore,青金石矿石,zh-CN
Large Amethyst Bud,大型紫晶芽,zh-CN
Large Fern,大型蕨,zh-CN
Lava,熔岩,zh-CN
Lava Cauldron,装有熔岩的炼药锅,zh-CN
Leaf Litter,枯叶堆,zh-CN
Leaves,树叶,zh-CN
Lectern,讲台,zh-CN
Lever,拉杆,zh-CN
Light,光源方块,zh-CN
Light Blue Banner,淡蓝色旗帜,zh-CN
Light Blue Bed,淡蓝色床,zh-CN
Light Blue Candle,淡蓝色蜡烛,zh-CN
Light Blue Carpet,淡蓝色地毯,zh-CN
Light Blue Concrete,淡蓝色混凝土,zh-CN
Light Blue Concrete Powder,淡蓝色混凝土粉末,zh-CN
Light Blue Glazed Terracotta,淡蓝色带釉陶瓦,zh-CN
Light Blue Shulker Box,淡蓝色潜影盒,zh-CN
Light Blue Stained Glass,淡蓝色染色玻璃,zh-CN
Light Blue Stained Glass Pane,淡蓝色染色玻璃板,zh-CN
Light Blue Terracotta,淡蓝色陶瓦,zh-CN
Light Blue Wall Banner,墙上的淡蓝色旗帜,zh-CN
Light Blue Wool,淡蓝色羊毛,zh-CN
Light Gray Banner,淡灰色旗帜,zh-CN
Light Gray Bed,淡灰色床,zh-CN
Light Gray Candle,淡灰色蜡烛,zh-CN
Light Gray Carpet,淡灰色地毯,zh-CN
Light Gray Concrete,淡灰色混凝土,zh-CN
Light Gray Concrete Powder,淡灰色混凝土粉末,zh-CN
Light Gray Glazed Terracotta,淡灰色带釉陶瓦,zh-CN
